alpha_max,3.000000
beta_max,1.000000
0.000000,0.051230,0.108607,0.157787,0.215164,0.267418,0.328893,0.389344,0.444672,0.488730,0.532787
0.270671,0.254483,0.222182,0.207454,0.208453,0.247310,0.300487,0.351793,0.401255,0.448207,0.505994
0.373950,0.343852,0.309144,0.279790,0.260374,0.260963,0.301434,0.348899,0.401358,0.453074,0.500897
0.407992,0.397080,0.364037,0.337500,0.305712,0.281378,0.299795,0.348668,0.402638,0.453484,0.494262
0.433094,0.420133,0.400282,0.371593,0.337935,0.310476,0.306634,0.352638,0.399513,0.449411,0.496977
0.441163,0.431890,0.419109,0.394365,0.368212,0.333120,0.314524,0.350768,0.400589,0.449334,0.498745
0.457121,0.442700,0.431404,0.416829,0.394390,0.354841,0.327971,0.348847,0.401306,0.446824,0.499513
0.460374,0.458530,0.442367,0.425615,0.402075,0.376281,0.343315,0.348386,0.398591,0.450768,0.501511
0.465190,0.456455,0.449565,0.432659,0.410835,0.388064,0.352894,0.351691,0.396158,0.448361,0.504226
0.470697,0.461552,0.455584,0.443929,0.425359,0.401819,0.369518,0.354662,0.399667,0.445748,0.499436
0.475794,0.471311,0.459375,0.447054,0.425410,0.411603,0.377177,0.357659,0.403612,0.449462,0.502126
