alpha_max,3.000000
beta_max,1.000000
0.000000,0.047131,0.092213,0.142418,0.185451,0.234631,0.272541,0.312500,0.355533,0.409836,0.467213
0.233197,0.208376,0.189728,0.182300,0.201204,0.247515,0.302715,0.352357,0.399360,0.451691,0.496465
0.325307,0.295620,0.262833,0.238499,0.225256,0.251306,0.302100,0.348386,0.398335,0.446440,0.498924
0.378048,0.353970,0.326767,0.286860,0.268315,0.259170,0.300615,0.350461,0.398719,0.451460,0.499974
0.410092,0.387833,0.362526,0.323950,0.294570,0.278023,0.300333,0.349206,0.397439,0.450461,0.495338
0.421158,0.408453,0.389728,0.353817,0.322259,0.293801,0.300794,0.350000,0.399462,0.452459,0.498591
0.433811,0.422336,0.404431,0.378868,0.346440,0.316009,0.307454,0.348770,0.400333,0.449411,0.506276
0.446824,0.439652,0.415804,0.393545,0.369134,0.332147,0.316496,0.353279,0.402254,0.451383,0.496055
0.453279,0.441983,0.424436,0.408069,0.380738,0.352024,0.322823,0.351793,0.400794,0.446337,0.492520
0.458632,0.447567,0.432070,0.418648,0.392444,0.359913,0.332941,0.354995,0.399744,0.447695,0.501972
0.461834,0.454995,0.440881,0.425256,0.404713,0.374283,0.342239,0.352690,0.400487,0.449411,0.496516
