alpha_max,3.000000
beta_max,1.000000
0.000000,0.047131,0.092213,0.142418,0.185451,0.234631,0.272541,0.312500,0.355533,0.409836,0.467213
0.230712,0.256557,0.272874,0.305815,0.322720,0.350128,0.366496,0.384477,0.402664,0.435015,0.467213
0.357736,0.370697,0.375820,0.392316,0.399693,0.414037,0.415061,0.419775,0.429175,0.448002,0.467213
0.407147,0.411834,0.417802,0.423950,0.430815,0.438166,0.435425,0.433017,0.436399,0.450589,0.467213
0.430277,0.432505,0.434401,0.438704,0.443545,0.448540,0.441086,0.439011,0.441880,0.454150,0.467213
0.439498,0.445722,0.445774,0.452177,0.452100,0.455533,0.448591,0.443878,0.444365,0.455046,0.467213
0.452049,0.453765,0.456071,0.455917,0.458914,0.458504,0.453381,0.446593,0.448873,0.457812,0.467213
0.459042,0.466163,0.460195,0.462449,0.465984,0.465830,0.457684,0.448950,0.448207,0.457736,0.467213
0.465113,0.465856,0.462398,0.467623,0.466189,0.464831,0.459862,0.449488,0.447567,0.457864,0.467213
0.467700,0.470594,0.462398,0.466931,0.466368,0.467828,0.462398,0.452049,0.450666,0.457556,0.467213
0.470748,0.475102,0.466496,0.469928,0.469262,0.469544,0.463217,0.453176,0.450256,0.457633,0.467213
