alpha_max,3.000000
beta_max,1.000000
0.000000,0.050205,0.092213,0.140369,0.186475,0.233607,0.272541,0.312500,0.356557,0.412910,0.467213
0.406481,0.379636,0.350820,0.313858,0.284324,0.267853,0.299283,0.351204,0.397515,0.456096,0.500512
0.456250,0.444647,0.429124,0.405302,0.379355,0.336603,0.317264,0.347592,0.401127,0.451358,0.496337
0.474539,0.465702,0.455405,0.440215,0.424360,0.387526,0.350640,0.353663,0.400205,0.451101,0.501972
0.479611,0.474744,0.468955,0.457659,0.443289,0.418186,0.383555,0.357198,0.400026,0.453330,0.501870
0.487833,0.475102,0.472541,0.463781,0.458145,0.434119,0.410809,0.371619,0.400897,0.450948,0.496670
0.487474,0.482326,0.479534,0.473873,0.461501,0.450359,0.423463,0.386296,0.401409,0.448053,0.505174
0.489857,0.488064,0.482966,0.475768,0.467546,0.458786,0.435143,0.397618,0.400487,0.448309,0.498873
0.489139,0.483376,0.483581,0.474974,0.472208,0.462372,0.447054,0.412910,0.400564,0.452433,0.501153
0.486860,0.487654,0.483274,0.483555,0.477613,0.467213,0.449411,0.420748,0.400845,0.452280,0.498873
0.493519,0.491163,0.485758,0.484144,0.475410,0.467930,0.454252,0.431199,0.408325,0.446030,0.496952
