alpha_max,3.000000
beta_max,1.000000
0.000000,0.051230,0.108607,0.157787,0.215164,0.267418,0.328893,0.389344,0.444672,0.488730,0.532787
0.001870,0.052638,0.110015,0.159042,0.215804,0.268263,0.329406,0.389831,0.445287,0.488986,0.532787
0.131455,0.170236,0.213371,0.246747,0.293519,0.332787,0.379252,0.429124,0.470594,0.502741,0.532787
0.240625,0.272362,0.302894,0.330815,0.366163,0.388422,0.425743,0.463499,0.493852,0.514344,0.532787
0.303407,0.327997,0.354201,0.371132,0.394723,0.420697,0.449821,0.478740,0.504252,0.518750,0.532787
0.336066,0.360272,0.383299,0.398079,0.419698,0.435067,0.461783,0.488986,0.511399,0.522592,0.532787
0.369544,0.380917,0.400282,0.417572,0.436066,0.449898,0.474027,0.498770,0.518622,0.524821,0.532787
0.385118,0.400307,0.418315,0.429406,0.444314,0.459298,0.480968,0.504611,0.520799,0.527536,0.532787
0.398950,0.410630,0.429559,0.436808,0.451562,0.467392,0.484964,0.508197,0.521977,0.528356,0.532787
0.411270,0.419518,0.436014,0.446542,0.458965,0.470799,0.491163,0.510348,0.524590,0.528791,0.532787
0.420389,0.432992,0.442136,0.451819,0.462833,0.477997,0.494621,0.510220,0.527100,0.530251,0.532787
